NMec	Computador
47468	l230214-ws06
64354	l230208-ws05
68181	l040104-ws07
68698	l230211-ws08
71904	l230207-ws09
72783	l230208-ws12
73001	l230214-ws08
76442	l230213-ws09
77151	l040106-ws11
79405	l230210-ws14
79890	l040106-ws14
79989	l230210-ws09
79996	l230214-ws04
80000	l230211-ws08
80019	l040104-ws07
80022	l230214-ws13
80075	l230208-ws04
80091	l230211-ws05
80130	l230211-ws12
80187	l230214-ws13
80190	l230211-ws12
80248	l230214-ws04
80271	l230211-ws14
80509	l040106-ws11
80535	l230207-ws09
80549	l230207-ws08
80632	l230208-ws08
80766	l230208-ws08
80773	l230211-ws05
81020	l230213-ws01
81681	l040104-ws14
83172	l230207-ws03
83896	l230207-ws08
84667	l230204-ws07
84672	l230210-ws12
84674	l230208-ws04
84677	l230204-ws10
84688	l230207-ws12
84712	l230207-ws12
84718	l040104-ws12
84739	l230210-ws12
84740	l040104-ws12
84754	l230208-ws07
84758	l230207-ws14
84768	l230207-ws11
84792	l230208-ws05
84826	l230214-ws12
84881	l230214-ws12
84882	l230208-ws01
84894	l230208-ws07
84895	l040106-ws14
84898	l230207-ws05
84907	l230214-ws10
84911	l230204-ws11
84927	l230214-ws11
84941	l040104-ws09
84950	l230204-ws07
84953	l230210-ws06
84977	l230210-ws14
84983	l230213-ws01
85003	l230214-ws02
85015	l230208-ws01
85016	l230207-ws05
85019	l230204-ws11
85057	l230214-ws11
85059	l230208-ws11
85061	l230208-ws10
85088	l230214-ws07
85101	l040104-ws14
85123	l230204-ws06
85145	l230207-ws14
85276	l230214-ws10
85295	l230207-ws11
85514	l230207-ws13
85577	l230208-ws10
85628	l230207-ws13
85666	l230211-ws11
87874	l040106-ws01
87877	l230208-ws11
88164	l230211-ws09
88729	l230213-ws09
88734	l040104-ws05
88736	l230210-ws01
88742	l040104-ws04
88744	l230210-ws01
88747	l230208-ws13
88749	l230213-ws06
88750	l040106-ws03
88753	l230211-ws04
88755	l230207-ws04
88768	l230207-ws10
88771	l230213-ws10
88778	l230210-ws10
88783	l230207-ws07
88794	l230204-ws09
88802	l040104-ws06
88803	l040106-ws09
88804	l040106-ws01
88811	l040104-ws01
88812	l040106-ws04
88823	l230211-ws10
88826	l040106-ws05
88827	l230210-ws02
88847	l230207-ws10
88852	l230213-ws07
88856	l040104-ws06
88857	l230204-ws06
88858	l040104-ws05
88861	l040104-ws10
88867	l230213-ws10
88868	l230211-ws04
88871	l040106-ws02
88881	l040106-ws05
88882	l040104-ws13
88896	l040106-ws13
88902	l230211-ws07
88904	l230207-ws01
88906	l040106-ws03
88919	l230204-ws09
88930	l230207-ws01
88932	l040106-ws10
88934	l040106-ws10
88936	l230214-ws14
88941	l230213-ws12
88960	l230211-ws10
88963	l230208-ws14
88964	l230210-ws07
88970	l230211-ws09
88990	l230211-ws06
88996	l230210-ws06
88998	l230213-ws06
89003	l230208-ws09
89020	l230208-ws03
89027	l230207-ws07
89029	l040106-ws07
89031	l040106-ws07
89064	l040104-ws13
89077	l230211-ws14
89081	l230207-ws03
89082	l230211-ws11
89119	l230208-ws14
89123	l230214-ws09
89131	l040106-ws13
89134	l040106-ws09
89140	l040106-ws08
89147	l040106-ws08
89151	l230211-ws07
89157	l040104-ws11
89162	l040106-ws04
89164	l230213-ws12
89172	l040104-ws08
89179	l230204-ws04
89180	l040104-ws08
89185	l040106-ws02
89187	l230210-ws09
89189	l230213-ws07
89194	l230214-ws07
89195	l230207-ws04
89205	l040104-ws01
89208	l230210-ws05
89212	l230214-ws14
89221	l040104-ws10
89222	l230210-ws10
89227	l230214-ws02
89228	l230204-ws04
89231	l230213-ws03
89241	l230214-ws05
89243	l230210-ws05
89249	l230208-ws09
89264	l230208-ws12
89277	l040104-ws09
89278	l230213-ws03
89280	l230214-ws04
89285	l230210-ws08
89286	l230211-ws13
89288	l230208-ws06
89290	l230208-ws06
89293	l230214-ws05
89297	l230210-ws04
89298	l230208-ws03
89302	l230211-ws06
89304	l230208-ws13
89311	l230210-ws08
89315	l230210-ws07
89357	l230211-ws13
89825	l230211-ws01
89827	l230204-ws01
89833	l040104-ws04
89853	l230214-ws09
89908	l230214-ws08
89991	l040104-ws02
90010	l230211-ws01
90040	l230214-ws06
90074	l230204-ws01
90246	l230204-ws10
90317	l230210-ws02
90327	l230210-ws03
90339	l040104-ws02
90480	l230210-ws04
90487	l040104-ws11
90513	l230210-ws03
90533	l230207-ws03